title,production,release_year,genre1,genre2,genre3,director1,director2,actor1,actor2,actor3,budget,production_country
Teen Titans Go! To the Movies,  Warner Bros. Animation ,2018, Animation , Action , Comedy, Aaron Horvath , Peter Rida Michail,Kristen Bell,  Nicolas Cage,  Tara Strong,10,US
Hereditary,  PalmStar Media ,2018, Drama , Horror , Mystery, Ari Aster,,Alex Wolff,  Gabriel Byrne,  Toni Collette,10,US
Unfriended: Dark Web,  Bazelevs Production ,2018, Horror,,, Stephen Susco,,Rebecca Rittenhouse,  Betty Gabriel,  Colin Woodell,1,RU
Split,  Blinding Edge Pictures ,2016, Horror , Thriller,, M. Night Shyamalan,,James McAvoy,  Anya Taylor-Joy,  Betty Buckley,9,US
Truth or Dare,  Blumhouse Productions ,2018, Horror , Thriller,, Jeff Wadlow,,Lucy Hale,  Tyler Posey,  Violett Beane,3.5,US
The Row,  Emmett/Furla/Oasis Films (EFO Films) ,2018, Thriller,,, Matty Beckerman,,Colin Egglesfield,  Mia Rose Frampton,  Lala Kent,4,US
Traffik,  Hidden Empire Film Group ,2018, Thriller,,, Deon Taylor,,Priscilla Quintana,  Luke Goss,  Paula Patton,4,US
Upgrade,  Blumhouse Productions ,2018, Action , Horror , Sci-Fi, Leigh Whannell,,Logan Marshall-Green,  Richard Anastasios,  Rosco Campbell,5,US
Get Out,  Universal Pictures ,2017, Horror , Mystery , Thriller, Jordan Peele,,Daniel Kaluuya,  Allison Williams,  Catherine Keener,5,US
Gotti,  Emmett/Furla/Oasis Films (EFO Films) ,2018, Biography , Crime , Drama, Kevin Connolly (I),,John Travolta,  Kelly Preston,  Spencer Rocco Lofranco,10,US
Book Club,  Apartment Story ,2018, Comedy , Drama , Romance, Bill Holderman (I),,Diane Keaton,  Jane Fonda,  Candice Bergen,10,US
Breaking In,  Breaking In Pictures ,2018, Action , Crime , Drama, James McTeigue,,Gabrielle Union,  Billy Burke,  Richard Cabral,6,US
Disobedience,  Braven Films ,2017, Drama , Romance,, SebastiÃ¡n Lelio,,Anton Lesser,  Alessandro Nivola,  Allan Corduner,6,US
Unsane,  Extension 765 ,2018, Horror , Thriller,, Steven Soderbergh,,Joshua Leonard,  Claire Foy,  Sarah Stiles,1.5,US
Lady Bird,  Scott Rudin Productions ,2017, Comedy , Drama,, Greta Gerwig,,Saoirse Ronan,  Laurie Metcalf,  Tracy Letts,10,US
Don't Breathe,  Screen Gems ,2016, Crime , Horror , Thriller, Fede Alvarez,,Stephen Lang,  Jane Levy,  Dylan Minnette,9.9,US
I Can Only Imagine,  Kevin Downes Productions ,2018, Drama , Family , Music, Andrew Erwin (II) , Jon Erwin (II),J. Michael Finley,  Madeline Carroll,  Dennis Quaid,7,US
Happy Death Day,  Universal Pictures ,2017, Horror , Mystery , Thriller, Christopher Landon (II),,Jessica Rothe,  Israel Broussard,  Ruby Modine,4.8,US
The Disaster Artist,  Good Universe ,2017, Biography , Comedy , Drama, James Franco,,Dave Franco,  James Franco,  Seth Rogen,10,US
Mandy,  SpectreVision ,2018, Action , Horror , Thriller, Panos Cosmatos,,Nicolas Cage,  Andrea Riseborough,  Linus Roache,6,US
The Purge: Election Year,  Universal Pictures ,2016, Action , Horror , Sci-Fi, James DeMonaco,,Frank Grillo,  Elizabeth Mitchell,  Mykelti Williamson,10,US
Moonlight,  A24 ,2016, Drama,,, Barry Jenkins (III),,Mahershala Ali,  Shariff Earp,  Duan Sanderson,1.5,US
The Florida Project,  Cre Film ,2017, Drama,,, Sean Baker (II),,Brooklynn Prince,  Christopher Rivera,  Aiden Malik,2,US
Every Day,  FilmWave ,2018, Drama , Fantasy , Romance, Michael Sucsy (I),,Angourie Rice,  Justice Smith,  Jeni Ross,4.9,GB
Insidious: The Last Key,  Blumhouse Productions ,2018, Horror , Mystery , Thriller, Adam Robitel,,Lin Shaye,  Leigh Whannell,  Angus Sampson,10,US
Jigsaw,  Serendipity Productions ,2017, Crime , Horror , Mystery, Michael Spierig , Peter Spierig,Matt Passmore,  Tobin Bell,  Callum Keith Rennie,10,US
Winchester,  Blacklab Entertainment ,2018, Biography , Fantasy , Horror, Michael Spierig , Peter Spierig,Helen Mirren,  Sarah Snook," "" Finn Scicluna-OPrey""",3.5,AU
Braven,  Braven NL ,2018, Action , Drama,, Lin Oeding,,Jason Momoa,  Garret Dillahunt,  Jill Wagner,5,CA
47 Metres Down,  thefyzz ,2017, Adventure , Drama , Horror, Johannes Roberts,,Mandy Moore,  Claire Holt,  Chris Johnson,5.5,GB
Hush,  Intrepid Pictures ,2016, Horror , Thriller,, Mike Flanagan (I),,John Gallagher Jr.,  Kate Siegel,  Michael Trucco,1,US
Spinning Man,,2018, Drama , Mystery , Thriller, Simon Kaijser,,Guy Pearce,  Pierce Brosnan,  Minnie Driver,8.5,
The Big Sick,  Apatow Productions ,2017, Comedy , Drama , Romance, Michael Showalter (I),,Kumail Nanjiani,  Zoe Kazan,  Holly Hunter,5,US
When We First Met,  Footprint Features ,2018, Comedy , Fantasy , Romance, Ari Sandel,,Adam Devine,  Alexandra Daddario,  Shelley Hennig,10,US
Gifted,  Dayday Films ,2017, Drama,,, Marc Webb (I),,Chris Evans,  Mckenna Grace,  Lindsay Duncan,7,GB
Under the Silver Lake,  Vendian Entertainment ,2018, Comedy , Crime , Drama, David Robert Mitchell,,Sydney Sweeney,  Topher Grace,  Jimmi Simpson,8.5,US
Blood Fest,  Rooster Teeth Productions,2018, Comedy , Horror,, Owen Egerton,,Zachary Levi,  Seychelle Gabriel,  Tate Donovan,1.2,
The Boy,  Lakeshore Entertainment ,2016, Horror , Mystery , Thriller, William Brent Bell (I),,Lauren Cohan,  Rupert Evans,  James Russell,8,US
"Everything, Everything",  Alloy Entertainment ,2017, Drama , Romance,, Stella Meghie,,Amandla Stenberg,  Nick Robinson,  Anika Noni Rose,10,US
Manchester by the Sea,  Amazon Studios ,2016, Drama,,, Kenneth Lonergan,,Casey Affleck," "" Ben OBrien""",  Kyle Chandler,8.5,US
A Ghost Story,  Sailor Bear ,2017, Drama , Fantasy , Romance, David Lowery (IV),,Casey Affleck,  Rooney Mara,  McColm Cephas Jr.,0.1,US
Forever My Girl,  LD Entertainment ,2018, Drama , Music , Romance, Bethany Ashton Wolf,,Alex Roe,  Jessica Rothe,  Abby Ryder Fortson,5.5,US
It Comes at Night,  Animal Kingdom ,2017, Horror , Mystery,, Trey Edward Shults,,Joel Edgerton,  Christopher Abbott,  Carmen Ejogo,5,US
The Bad Batch,  Human Stew Factory ,2016, Drama , Horror , Romance, Ana Lily Amirpour,,Suki Waterhouse,  Jason Momoa,  Jayda Fink,6,US
Black Water,  Dawn's Light ,2018, Action , Drama , Thriller, Pasha Patriki,,Dolph Lundgren,  Jean-Claude Van Damme," "" Aaron OConnell""",5,US
The Neon Demon,  Space Rocket Nation ,2016, Horror , Thriller,, Nicolas Winding Refn,,Elle Fanning,  Karl Glusman,  Jena Malone,7,DK
Before I Fall,  Awesomeness Films ,2017, Drama , Fantasy , Mystery, Ry Russo-Young,,Zoey Deutch,  Halston Sage,  Logan Miller,5,US
Table 19,  3311 Productions ,2017, Comedy , Drama , Romance, Jeffrey Blitz,,Anna Kendrick,  Rya Meyers,  Charles Green,5,US
The Belko Experiment,  BH Tilt ,2016, Action , Horror , Thriller, Greg McLean,,John Gallagher Jr.,  Tony Goldwyn,  Adria Arjona,5,US
The Edge of Seventeen,  Gracie Films ,2016, Comedy , Drama,, Kelly Fremon Craig,,Hailee Steinfeld,  Haley Lu Richardson,  Blake Jenner,9,US
Everybody Wants Some!!,  Annapurna Pictures ,2016, Comedy,,, Richard Linklater,,Blake Jenner,  Juston Street,  Ryan Guzman,10,US
The Open House,,2018, Horror , Thriller,, Matt Angel (I) , Suzanne Coote,Dylan Minnette,  Piercey Dalton,  Patricia Bethune,0.1,
Lights Out,  New Line Cinema ,2016, Horror,,, David F. Sandberg,,Teresa Palmer,  Gabriel Bateman,  Alexander DiPersia,4.9,US
The Book of Henry,  Double Nickel Entertainment ,2017, Crime , Drama , Thriller, Colin Trevorrow,,Naomi Watts,  Jaeden Lieberher,  Jacob Tremblay,10,US
"Paul, Apostle of Christ",  Affirm Films ,2018, Drama , History,, Andrew Hyatt,,Jim Caviezel,  James Faulkner,  Olivier Martinez,5,US
Jackie,  Fox Searchlight Pictures ,2016, Biography , Drama , History, Pablo LarraÃ­n,,Natalie Portman,  Peter Sarsgaard,  Greta Gerwig,9,US
Show Dogs,  Open Road Films (II) ,2018, Adventure , Comedy , Family, Raja Gosnell,,Alan Cumming,  Will Arnett,  Stanley Tucci,5.5,US
Swiss Army Man,  Blackbird,2016, Adventure , Comedy , Drama, Dan Kwan , Daniel Scheinert (I),Paul Dano,  Daniel Radcliffe,  Mary Elizabeth Winstead,3,
Office Uprising,  Mind the GAP Productions ,2018, Action , Comedy , Horror, Lin Oeding,,Brenton Thwaites,  Jane Levy,  Karan Soni,2.5,US
Love & Friendship,  Westerly Films,2016, Comedy , Drama , Romance, Whit Stillman,,Kate Beckinsale,  Morfydd Clark,  Tom Bennett,3,
Ideal Home,  Remstar Studios ,2018, Comedy , Drama,, Andrew Fleming (I),,Paul Rudd,  Kate Walsh,  Alison Pill,10,US
Friend Request,  Wiedemann & Berg Filmproduktion ,2016, Horror , Thriller,, Simon Verhoeven (I),,Alycia Debnam-Carey,  William Moseley,  Connor Paolo,9.9,DE
Del Playa,  Belligerent Seal Productions ,2017, Horror , Thriller,, Shaun Hart (I),,Devon Barnes,  Ryan Ochoa,  Brett Johnson,0.6,US
Yoga Hosers,  Abbolita Productions ,2016, Comedy , Fantasy , Horror, Kevin Smith (I),,Lily-Rose Depp,  Harley Quinn Smith,  Adam Brody,5,US
Morgan,  Burk A Project ,2016, Action , Horror , Sci-Fi, Luke Scott (I),,Kate Mara,  Anya Taylor-Joy,  Rose Leslie,8,US
Max Steel,  Dolphin Entertainment ,2016, Action , Adventure , Family, Stewart Hendler,,Ben Winchell,  Josh Brener,  Maria Bello,10,US
Ouija: Origin of Evil,  Allspark Pictures ,2016, Horror , Thriller,, Mike Flanagan (I),,Annalise Basso,  Elizabeth Reaser,  Lulu Wilson,9,US
Demon House,,2018, Horror , Thriller,, Zak Bagans,,Adam Ahlbrandt,  Zak Bagans,  Matthew Mourgides,7.2,
Keep Watching,  Voltage Pictures ,2017, Horror , Thriller,, Sean Carter (I),,Bella Thorne,  Chandler Riggs,  Ioan Gruffudd,5,US
Free Fire,  Film4 ,2016, Action , Comedy , Crime, Ben Wheatley (I),,Enzo Cilenti,  Sam Riley,  Michael Smiley,7,GB
Range 15,  Street Justice Films ,2016, Action , Comedy , Horror, Ross Patterson,,Sean Astin,  Danny Trejo,  William Shatner,1,US
Bleach,  Cine Bazar ,2018, Action , Adventure , Fantasy, Shinsuke Sato,,Miyavi,  Hana Sugisaki,  Sôta Fukushi,3.6,JP
Nowhereland,  Leslin Films ,2016, Drama,,, Robin Bain (I),,Jessica Taylor Haid,  Felix Ryan,  Robin Bain,1,US
31,  Bow and Arrow Entertainment ,2016, Horror , Thriller,, Rob Zombie,,Sheri Moon Zombie,  Jeff Daniel Phillips,  Lawrence-Hilton Jacobs,1.5,US
The Hatred,  Big Rock Films ,2017, Horror , Thriller,, Michael G. Kehoe,,Sarah Davenport,  Andrew Divoff,  Darby Walker,0.8,US
Personal Shopper,  CG CinÃ©ma ,2016, Drama , Horror , Mystery, Olivier Assayas,,Kristen Stewart,  Lars Eidinger,  Sigrid Bouaziz,6,FR
First Kill,  Kirk Shaw Productions ,2017, Action , Crime , Thriller, Steven C. Miller,,Bruce Willis,  Hayden Christensen,  Ty Shelton,10,CA
The Thinning,  Legendary Digital Media ,2016, Action , Drama , Horror, Michael J. Gallagher,,Logan Paul,  Peyton List,  Lia Marie Johnson,0.1,US
The Vault,  Redwire Pictures ,2017, Horror , Thriller,, Dan Bush (I),,James Franco,  Scott Haze,  Taryn Manning,5,US
How to Be a Latin Lover,  Pantelion Films ,2017, Comedy , Drama,, Ken Marino,,Eugenio Derbez,  Salma Hayek,  Raphael Alejandro,10,US
The Forest,  DragonCove Studios ,2016, Horror , Mystery , Thriller, Jason Zada,,Natalie Dormer,  Eoin Macken,  Stephanie Vogt,10,US
Day of the Dead: Bloodline,  Nu Boyana Film Studios ,2018, Horror,,, HÃ¨ctor HernÃ¡ndez Vicens,,Johnathon Schaech,  Sophie Skelton,  Jeff Gum,8,BG
The Late Bloomer,  Eclectic Pictures ,2016, Comedy , Drama , Romance, Kevin Pollak (I),,Charlotte McKinney,  Johnny Simmons,  Blake Cooper,3.5,US
Bleed for This,  Verdi Productions ,2016, Biography , Drama , Sport, Ben Younger,,Miles Teller,  Aaron Eckhart,  Katey Sagal,6,US
Exposed,  Company Films ,2016, Crime , Drama , Fantasy, Gee Malik Linton,,Ana de Armas,  Gabe Vargas,  Sandy Tejada,6,US
Meet the Blacks,  Hidden Empire Film Group ,2016, Comedy , Horror,, Deon Taylor,,Mike Epps,  Gary Owen,  Zulay Henao,0.9,US
Revolt,  POW Movie ,2017, Action , Sci-Fi , War, Joe Miale,,Lee Pace,  Bérénice Marlohe,  Jason Flemyng,4,GB
The Insult,  Rouge International ,2017, Drama , Thriller,, Ziad Doueiri,,Adel Karam,  Kamel El Basha,  Camille Salameh,3,FR
Dear Dictator,  Hector Coup ,2017, Comedy,,, Lisa Addario , Joe Syracuse,Michael Caine,  Odeya Rush,  Katie Holmes,6.7,US
Hillary's America: The Secret History of the Democratic Party,  D'Souza Media ,2016, Documentary , Biography , History, Dinesh D'Souza , Bruce Schooley,"""Dinesh DSouza""",  Jonah Goldberg,  Andrea Cohen,5,US
